time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
1.99,-3903.38,1590.5,-6.39643,-32.1408,-4.91305,99.3099,27.2705,0.286623,9.54985,-8.93671,0.273391
2,-3903.42,1590.77,-6.37316,-32.1272,-4.87991,99.183,27.2668,0.26924,9.51369,-8.95376,0.270671
2.01,-3903.46,1591.04,-6.35004,-32.1138,-4.84714,99.0562,27.2629,0.25135,9.47732,-8.9711,0.267977
2.02,-3903.51,1591.3,-6.32708,-32.1007,-4.81475,98.9294,27.259,0.233009,9.44077,-8.98872,0.265311
2.03,-3903.55,1591.57,-6.30428,-32.0879,-4.78273,98.8027,27.255,0.214267,9.40407,-9.00661,0.262671
2.04,-3903.59,1591.84,-6.28163,-32.0753,-4.75109,98.676,27.2509,0.195173,9.36726,-9.02474,0.260057
2.05,-3903.63,1592.11,-6.25914,-32.063,-4.71984,98.5494,27.2467,0.175775,9.33037,-9.0431,0.25747
2.06,-3903.67,1592.38,-6.23679,-32.051,-4.68896,98.4228,27.2425,0.156117,9.29341,-9.06167,0.254908
2.07,-3903.71,1592.65,-6.2146,-32.0392,-4.65848,98.2963,27.2382,0.136244,9.25642,-9.08044,0.252372
2.08,-3903.75,1592.92,-6.19255,-32.0277,-4.62838,98.1698,27.2338,0.116195,9.21944,-9.0994,0.24986
2.09,-3903.79,1593.18,-6.17065,-32.0165,-4.59867,98.0434,27.2293,0.0960108,9.18247,-9.11853,0.247374
2.1,-3903.82,1593.45,-6.14889,-32.0055,-4.56935,97.917,27.2248,0.0757277,9.14556,-9.13781,0.244913
2.11,-3903.86,1593.72,-6.12727,-31.9948,-4.54042,97.7906,27.2202,0.0553813,9.10871,-9.15723,0.242476
2.12,-3903.9,1593.99,-6.10579,-31.9844,-4.51189,97.6643,27.2155,0.0350053,9.07197,-9.17678,0.240063
2.13,-3903.93,1594.26,-6.08445,-31.9743,-4.48374,97.5381,27.2108,0.0146315,9.03535,-9.19644,0.237675
2.14,-3903.97,1594.53,-6.06324,-31.9644,-4.45599,97.4118,27.206,-0.00570987,8.99887,-9.2162,0.23531
2.15,-3904,1594.8,-6.04217,-31.9548,-4.42864,97.2857,27.2012,-0.0259903,8.96256,-9.23604,0.232968
